,day,0
273,2014-12-30,0
274,2014-12-31,0
275,2015-01-01,58045
276,2015-01-02,40287
277,2015-01-03,59844
278,2015-01-04,41943
279,2015-01-05,43678
280,2015-01-06,53539
281,2015-01-07,63375
282,2015-01-08,73016
283,2015-01-09,72124
284,2015-01-10,80656
285,2015-01-11,58751
286,2015-01-12,58991
287,2015-01-13,64765
288,2015-01-14,64725
289,2015-01-15,68211
290,2015-01-16,74193
291,2015-01-17,75364
292,2015-01-18,74523
293,2015-01-19,47025
294,2015-01-20,55867
295,2015-01-21,60383
296,2015-01-22,66819
297,2015-01-23,73363
298,2015-01-24,82588
299,2015-01-25,59382
300,2015-01-26,44310
301,2015-01-27,25954
302,2015-01-28,61626
303,2015-01-29,70441
304,2015-01-30,85565
305,2015-01-31,94448
306,2015-02-01,78592
307,2015-02-02,70193
308,2015-02-03,71532
309,2015-02-04,68237
310,2015-02-05,82336
311,2015-02-06,87568
312,2015-02-07,82752
313,2015-02-08,64327
314,2015-02-09,63306
315,2015-02-10,66197
316,2015-02-11,73742
317,2015-02-12,84751
318,2015-02-13,99897
319,2015-02-14,102347
320,2015-02-15,91320
321,2015-02-16,73672
322,2015-02-17,74221
323,2015-02-18,73493
324,2015-02-19,90271
325,2015-02-20,102762
326,2015-02-21,100481
327,2015-02-22,67844
328,2015-02-23,72494
329,2015-02-24,80520
330,2015-02-25,75992
331,2015-02-26,84840
332,2015-02-27,90217
333,2015-02-28,89716
334,2015-03-01,70839
335,2015-03-02,57460
336,2015-03-03,75048
337,2015-03-04,71931
338,2015-03-05,77446
339,2015-03-06,83134
340,2015-03-07,81468
341,2015-03-08,61824
342,2015-03-09,53920
343,2015-03-10,72185
344,2015-03-11,65315
345,2015-03-12,74038
346,2015-03-13,79272
347,2015-03-14,90956
348,2015-03-15,63421
349,2015-03-16,54824
350,2015-03-17,62886
351,2015-03-18,70384
352,2015-03-19,75839
353,2015-03-20,95273
354,2015-03-21,80745
355,2015-03-22,69337
356,2015-03-23,60498
357,2015-03-24,64400
358,2015-03-25,73953
359,2015-03-26,78552
360,2015-03-27,84977
361,2015-03-28,92527
362,2015-03-29,75648
363,2015-03-30,62780
364,2015-03-31,78893
365,2015-04-01,69223
366,2015-04-02,74069
367,2015-04-03,75983
368,2015-04-04,69189
369,2015-04-05,58357
370,2015-04-06,53565
371,2015-04-07,68079
372,2015-04-08,72023
373,2015-04-09,77520
374,2015-04-10,81439
375,2015-04-11,82547
376,2015-04-12,67726
377,2015-04-13,56655
378,2015-04-14,63393
379,2015-04-15,66534
380,2015-04-16,78808
381,2015-04-17,83855
382,2015-04-18,94196
383,2015-04-19,78107
384,2015-04-20,78076
385,2015-04-21,68712
386,2015-04-22,82124
387,2015-04-23,92110
388,2015-04-24,99688
389,2015-04-25,106270
390,2015-04-26,88673
391,2015-04-27,64783
392,2015-04-28,68863
393,2015-04-29,75940
394,2015-04-30,84330
395,2015-05-01,92329
396,2015-05-02,104978
397,2015-05-03,80300
398,2015-05-04,65447
399,2015-05-05,76195
400,2015-05-06,80447
401,2015-05-07,87361
402,2015-05-08,90733
403,2015-05-09,98359
404,2015-05-10,80146
405,2015-05-11,70310
406,2015-05-12,78437
407,2015-05-13,84937
408,2015-05-14,93624
409,2015-05-15,99756
410,2015-05-16,121557
411,2015-05-17,94322
412,2015-05-18,76414
413,2015-05-19,85371
414,2015-05-20,91062
415,2015-05-21,95146
416,2015-05-22,85771
417,2015-05-23,78343
418,2015-05-24,68328
419,2015-05-25,59748
420,2015-05-26,72820
421,2015-05-27,88662
422,2015-05-28,95074
423,2015-05-29,98200
424,2015-05-30,104429
425,2015-05-31,96947
426,2015-06-01,93499
427,2015-06-02,97592
428,2015-06-03,87206
429,2015-06-04,95023
430,2015-06-05,101922
431,2015-06-06,101773
432,2015-06-07,88876
433,2015-06-08,76899
434,2015-06-09,82463
435,2015-06-10,87403
436,2015-06-11,102013
437,2015-06-12,103052
438,2015-06-13,101170
439,2015-06-14,90856
440,2015-06-15,85857
441,2015-06-16,89171
442,2015-06-17,93706
443,2015-06-18,99842
444,2015-06-19,101703
445,2015-06-20,101667
446,2015-06-21,89285
447,2015-06-22,75418
448,2015-06-23,93172
449,2015-06-24,91388
450,2015-06-25,100073
451,2015-06-26,99508
452,2015-06-27,136193
453,2015-06-28,93108
454,2015-06-29,74430
455,2015-06-30,82627
